date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,UNIT,FREQUENCY
2010-01-01,316742580000.0,316742.58,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-02-01,317642502000.0,317642.502,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-03-01,322533042000.0,322533.042,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-04-01,330570545000.0,330570.545,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-05-01,337907223000.0,337907.223,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-06-01,352581540000.0,352581.54,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-07-01,361090276000.0,361090.276,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-08-01,368723247000.0,368723.247,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-09-01,380099644000.0,380099.644,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-10-01,388152384000.0,388152.384,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-11-01,397940058000.0,397940.058,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2010-12-01,422751817000.0,422751.817,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-01-01,426198862000.0,426198.862,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-02-01,432670031000.0,432670.031,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-03-01,439971034000.0,439971.034,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-04-01,451667863000.0,451667.863,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-05-01,460344121000.0,460344.121,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-06-01,479629904000.0,479629.904,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-07-01,489726708000.0,489726.708,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-08-01,494945520000.0,494945.52,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-09-01,499928762000.0,499928.762,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-10-01,506055327000.0,506055.327,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-11-01,503876813000.0,503876.813,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2011-12-01,531401310000.0,531401.31,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-01-01,535835361000.0,535835.361,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-02-01,543274032000.0,543274.032,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-03-01,557134418000.0,557134.418,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-04-01,572420261000.0,572420.261,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-05-01,582839716000.0,582839.716,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-06-01,603567347000.0,603567.347,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-07-01,615160621000.0,615160.621,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-08-01,627418062000.0,627418.062,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-09-01,639537519000.0,639537.519,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-10-01,654327015000.0,654327.015,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-11-01,670946027000.0,670946.027,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2012-12-01,716870110000.0,716870.11,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-01-01,716431045000.0,716431.045,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-02-01,720388752000.0,720388.752,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-03-01,734472234000.0,734472.234,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-04-01,747020886000.0,747020.886,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-05-01,761478186000.0,761478.186,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-06-01,795203255000.0,795203.255,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-07-01,807576316000.0,807576.316,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-08-01,821575107000.0,821575.107,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-09-01,843486533000.0,843486.533,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-10-01,855152700000.0,855152.7,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-11-01,866939334000.0,866939.334,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2013-12-01,910614093000.0,910614.093,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-01-01,914201470000.0,914201.47,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-02-01,919328459000.0,919328.459,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-03-01,930315002000.0,930315.002,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-04-01,949917817000.0,949917.817,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-05-01,973304914000.0,973304.914,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-06-01,1014376584000.0,1014376.584,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-07-01,1034299493000.0,1034299.493,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-08-01,1054637328000.0,1054637.328,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-09-01,1074305201000.0,1074305.201,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-10-01,1087957173000.0,1087957.173,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-11-01,1112224294000.0,1112224.294,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2014-12-01,1182398044000.0,1182398.044,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-01-01,1179442707000.0,1179442.707,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-02-01,1208958348000.0,1208958.348,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-03-01,1244065226000.0,1244065.226,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-04-01,1286873610000.0,1286873.61,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-05-01,1318005845000.0,1318005.845,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-06-01,1389898750000.0,1389898.75,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-07-01,1417790199000.0,1417790.199,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-08-01,1433340628000.0,1433340.628,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-09-01,1465827256000.0,1465827.256,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-10-01,1488129106000.0,1488129.106,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-11-01,1522056711000.0,1522056.711,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2015-12-01,1648856767000.0,1648856.767,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-01-01,1663306355000.0,1663306.355,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-02-01,1701027678000.0,1701027.678,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-03-01,1713577772000.0,1713577.772,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-04-01,1714702506000.0,1714702.506,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-05-01,1740108007000.0,1740108.007,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-06-01,1862857075000.0,1862857.075,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-07-01,1903250474000.0,1903250.474,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-08-01,1939525656000.0,1939525.656,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-09-01,1972399591000.0,1972399.591,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-10-01,2073865021000.0,2073865.021,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-11-01,2188186604000.0,2188186.604,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2016-12-01,2334518369000.0,2334518.369,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-01-01,2298884137000.0,2298884.137,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-02-01,2376637880000.0,2376637.88,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-03-01,2379843449000.0,2379843.449,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-04-01,2422641712000.0,2422641.712,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-05-01,2456323048000.0,2456323.048,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-06-01,2548077551000.0,2548077.551,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-07-01,2612953307000.0,2612953.307,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-08-01,2613650752000.0,2613650.752,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-09-01,8046910618000.0,8046910.618,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-10-01,2706251007000.0,2706251.007,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-11-01,2789106026000.0,2789106.026,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
2017-12-01,3037661976000.0,3037661.976,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/ARG.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,ARG,BM_MAI,XDC,M
