date,const_mean,const_lower_16,const_upper_84,const_lower_5,const_upper_95,gross_reserves_usd_m_lag1_mean,gross_reserves_usd_m_lag1_lower_16,gross_reserves_usd_m_lag1_upper_84,gross_reserves_usd_m_lag1_lower_5,gross_reserves_usd_m_lag1_upper_95,exports_usd_m_lag1_mean,exports_usd_m_lag1_lower_16,exports_usd_m_lag1_upper_84,exports_usd_m_lag1_lower_5,exports_usd_m_lag1_upper_95,imports_usd_m_lag1_mean,imports_usd_m_lag1_lower_16,imports_usd_m_lag1_upper_84,imports_usd_m_lag1_lower_5,imports_usd_m_lag1_upper_95,remittances_usd_m_lag1_mean,remittances_usd_m_lag1_lower_16,remittances_usd_m_lag1_upper_84,remittances_usd_m_lag1_lower_5,remittances_usd_m_lag1_upper_95
2009-02-01,-6530.432553674198,-6530.5348483931775,-6530.330347893592,-6530.591832473401,-6530.253710850329,-4860021.961359817,-4860022.049961617,-4860021.879560729,-4860022.099571622,-4860021.799794329,442281.05077706143,442280.9956518794,442281.10616429587,442280.9612677323,442281.14252650196,3149950.715363809,3149950.647052192,3149950.7859190125,3149950.593031839,3149950.825550536,-126144.90974529932,-126144.92506324606,-126144.89501326106,-126144.93673167207,-126144.8830852184
2009-03-01,-6600.399664914559,-6600.498811510089,-6600.3066664287335,-6600.562513999124,-6600.233006436279,-4908967.298632192,-4908967.38799839,-4908967.204818242,-4908967.433361389,-4908967.155458991,443273.59103066946,443273.5374243817,443273.6422519835,443273.51184552285,443273.6776049819,3179345.451631092,3179345.381465803,3179345.5199947804,3179345.3458935483,3179345.5588631113,-84330.82380600405,-84330.83786864189,-84330.80924496743,-84330.84684156756,-84330.79987206138
2009-04-01,-6670.780706481171,-6670.883390252204,-6670.677061641446,-6670.939495069377,-6670.62059938423,-4958011.423533368,-4958011.5277653085,-4958011.333883232,-4958011.585265599,-4958011.25867695,441882.67693827883,441882.6263056704,441882.725120091,441882.59555130405,441882.76047702256,3215698.768331102,3215698.699724366,3215698.8387578684,3215698.6571394065,3215698.873411186,-83191.36711742199,-83191.38287654184,-83191.35178582536,-83191.39175128342,-83191.34179958109
2009-05-01,-6741.420225556708,-6741.5160783675265,-6741.323742665213,-6741.587224576772,-6741.2639601509745,-5007128.897149828,-5007128.984532991,-5007128.808712019,-5007129.055494667,-5007128.743939273,447220.1008551899,447220.04813196126,447220.1524997209,447220.01360143296,447220.19424282905,3244709.7544294265,3244709.6842290424,3244709.825435165,3244709.632881646,3244709.874308039,-134676.49986153483,-134676.5122466881,-134676.48803019908,-134676.52001502353,-134676.48050177624
2009-06-01,-6812.656257672186,-6812.751332459159,-6812.5576569580435,-6812.824982204064,-6812.497023557052,-5056408.182936721,-5056408.281285814,-5056408.094652619,-5056408.356483093,-5056408.022937853,450441.8088742705,450441.75337767025,450441.8618662252,450441.71688253473,450441.89553192357,3273561.344095716,3273561.2703846805,3273561.4187567467,3273561.224661671,3273561.4667549473,-102530.43576893174,-102530.44934176946,-102530.4228756665,-102530.45719621227,-102530.41502383062
2009-07-01,-6884.086785118227,-6884.190062893954,-6883.983212293768,-6884.255574270042,-6883.918328200681,-5105738.274936695,-5105738.364731501,-5105738.180772992,-5105738.418180282,-5105738.123346431,454273.08666773885,454273.03562636685,454273.1363347813,454273.0053856666,454273.16781630996,3302972.165838451,3302972.091058077,3302972.23577772,3302972.0456925067,3302972.2876878097,-85281.1723628588,-85281.18515884207,-85281.15923315429,-85281.1936137257,-85281.1523495869
2009-08-01,-6955.578983075977,-6955.681600803305,-6955.475115660778,-6955.735265106233,-6955.4180505014465,-5155085.362008386,-5155085.462136377,-5155085.268205152,-5155085.515669665,-5155085.202553043,460715.36128096946,460715.3080838176,460715.4157576201,460715.27735854406,460715.4473132825,3330635.952051229,3330635.8906712113,3330636.019504128,3330635.8362816833,3330636.0661639045,-65390.185954819266,-65390.19843374147,-65390.17391228336,-65390.20402704326,-65390.162446309754
2009-09-01,-7027.495803166803,-7027.587569701112,-7027.403224829406,-7027.65257726912,-7027.34251699502,-5204560.262709601,-5204560.361910614,-5204560.165914308,-5204560.444422461,-5204560.10000124,466713.1684245869,466713.1127012267,466713.22343054763,466713.08073191793,466713.2608385197,3355731.710084787,3355731.6420118646,3355731.782328535,3355731.5956330025,3355731.8322079177,-34154.33044012267,-34154.3424540288,-34154.31743774383,-34154.350504751535,-34154.30975668247
2009-10-01,-7099.749312388736,-7099.848524664624,-7099.654261610523,-7099.905991433232,-7099.593417915535,-5254135.537164281,-5254135.629604959,-5254135.444075753,-5254135.691627959,-5254135.377313996,467723.41804177844,467723.36786796845,467723.4677837288,467723.33469881694,467723.498084685,3390415.1057288777,3390415.0398924914,3390415.169080842,3390414.9961781735,3390415.215560557,-70980.24723917415,-70980.25790936973,-70980.23604019335,-70980.26337538655,-70980.2295987256
2009-11-01,-7172.14193287287,-7172.238109778032,-7172.043456836417,-7172.298085997363,-7171.977503463383,-5303746.791563174,-5303746.886660902,-5303746.694544226,-5303746.948207373,-5303746.63791057,468287.30185367266,468287.2492763065,468287.35381790943,468287.2115451405,468287.3799714232,3425223.505526021,3425223.432888905,3425223.5765965786,3425223.3880651873,3425223.616772166,-48918.55736573782,-48918.569923663985,-48918.54536776209,-48918.57760167112,-48918.538312565615
2009-12-01,-7244.237456579543,-7244.343728210012,-7244.127798071118,-7244.418388249498,-7244.066739175385,-5353272.816084362,-5353272.912440464,-5353272.722159259,-5353272.966943195,-5353272.656389077,472119.465197854,472119.41455100494,472119.5114249525,472119.376196788,472119.5499125979,3454950.114829064,3454950.044474469,3454950.1886816258,3454950.0007716375,3454950.2310562143,-16323.248222634025,-16323.259184588924,-16323.237681952056,-16323.265510733629,-16323.23038177199
2010-01-01,-7315.360706455348,-7315.474359833526,-7315.245993215362,-7315.533715260769,-7315.174570011265,-5402547.931484132,-5402548.035232391,-5402547.83745605,-5402548.100643542,-5402547.7656637635,479555.073275057,479555.0271742197,479555.12187279714,479554.99515072466,479555.1601740938,3487447.237468413,3487447.168958585,3487447.302904898,3487447.1307489853,3487447.3478230964,-8789.677276602257,-8789.689469006096,-8789.665447186566,-8789.697637781599,-8789.659540005021
2010-02-01,-7386.146119645677,-7386.260372292095,-7386.035232127571,-7386.331542856371,-7385.975272030065,-5451717.915965077,-5451718.00569178,-5451717.820629391,-5451718.06075325,-5451717.772020329,483395.7419019309,483395.69245587,483395.79279499484,483395.6575430361,483395.8225123019,3523782.7557590078,3523782.6869853633,3523782.820002406,3523782.6507285363,3523782.864896501,-42353.02141651307,-42353.03289899282,-42353.00984496592,-42353.04064124674,-42353.00266724604
2010-03-01,-7456.409373096115,-7456.511727099826,-7456.302636310671,-7456.589419658653,-7456.242656860637,-5500727.167880634,-5500727.2578701,-5500727.07716225,-5500727.326843827,-5500727.0121671315,496068.2991894915,496068.24876601243,496068.35130243865,496068.21780133544,496068.38343228865,3549592.652881975,3549592.587226703,3549592.7208098643,3549592.541604596,3549592.773036662,-36873.86956944867,-36873.87973866169,-36873.85898468655,-36873.88621851274,-36873.85229372383
2010-04-01,-7526.457620694254,-7526.561521351678,-7526.3495936889585,-7526.6322725284945,-7526.27676512247,-5549667.15357628,-5549667.250369788,-5549667.053825292,-5549667.3155205585,-5549666.987976683,509458.9288024863,509458.8813861634,509458.9773975055,509458.83995804394,509459.00763292087,3581000.3762669195,3581000.308080606,3581000.442471797,3581000.259897761,3581000.494642834,-77348.52406251845,-77348.53368428824,-77348.51320992126,-77348.5409844997,-77348.50740560683
2010-05-01,-7598.0057818658415,-7598.110521687307,-7597.903032792009,-7598.185860667605,-7597.840636071407,-5599169.222381209,-5599169.320404261,-5599169.122891312,-5599169.380943364,-5599169.066378671,508349.7461731174,508349.6895607434,508349.7976566596,508349.6509183003,508349.83171338437,3621542.624800787,3621542.558941428,3621542.699314987,3621542.5106397676,3621542.7395690503,-122857.6018866125,-122857.61133250108,-122857.59301719336,-122857.61756675306,-122857.58541081075
2010-06-01,-7669.468517646023,-7669.575354406316,-7669.358197805915,-7669.641072395852,-7669.287596273592,-5648641.393595723,-5648641.4901689645,-5648641.293786649,-5648641.5611442225,-5648641.23176833,512372.6689963796,512372.6190674096,512372.7203168982,512372.590783147,512372.7481856827,3655764.2998037846,3655764.226594143,3655764.369638457,3655764.179561815,3655764.4130618987,-65117.90173998341,-65117.91132824333,-65117.89193369784,-65117.91679519602,-65117.885957730374
2010-07-01,-7739.702906712984,-7739.810148781004,-7739.60526678492,-7739.869017291419,-7739.509098775056,-5697745.503172751,-5697745.607223194,-5697745.398080318,-5697745.665478456,-5697745.336071724,524251.3801421957,524251.32604311395,524251.4306069475,524251.29954990046,524251.47213393654,3689305.006162992,3689304.936689072,3689305.0715729604,3689304.892398021,3689305.1241775434,-73527.39399612272,-73527.40337137556,-73527.38450554635,-73527.40907624371,-73527.37795364366
2010-08-01,-7809.955163484312,-7810.063143729442,-7809.838381872913,-7810.131907369758,-7809.770551178068,-5746848.316137525,-5746848.416516481,-5746848.231570664,-5746848.482957035,-5746848.159423426,537263.371134569,537263.3177227351,537263.4197980531,537263.2799138755,537263.4571829187,3716709.059871661,3716708.9978425885,3716709.1254607397,3716708.9445980964,3716709.161839387,8551.903669659958,8551.893578947476,8551.914458043679,8551.88545466735,8551.922185507643
2010-09-01,-7880.482806144737,-7880.585764462317,-7880.384250430048,-7880.642014646715,-7880.301579515864,-5796052.153337272,-5796052.259681705,-5796052.0397160575,-5796052.32258299,-5796051.978589225,543085.9459775104,543085.8977749638,543085.9961631485,543085.8652624777,543086.028300602,3755120.126475444,3755120.0577746243,3755120.1944424706,3755120.008572772,3755120.2416014606,-1427.4969368280006,-1427.5062057805574,-1427.4879423847183,-1427.51189648474,-1427.4813257088529
2010-10-01,-7950.793642030715,-7950.9067809055605,-7950.675715028938,-7950.974557965647,-7950.604175805367,-5845178.98289058,-5845179.08179172,-5845178.884012624,-5845179.141849652,-5845178.810105915,550347.8945581873,550347.8416987198,550347.9495944107,550347.8051858349,550347.975259339,3796158.8587315413,3796158.787440174,3796158.9344037604,3796158.7344398564,3796158.9770034985,-37600.902020631875,-37600.9116972961,-37600.89230711759,-37600.91744251881,-37600.88546301582
2010-11-01,-8020.908818085257,-8021.0181361383975,-8020.792150960759,-8021.103247825426,-8020.713582803908,-5894240.795405625,-5894240.897577451,-5894240.690148114,-5894240.958166512,-5894240.625964301,562126.0748252121,562126.0266337676,562126.126986882,562125.9910509842,562126.1556607059,3832871.9595836247,3832871.890004842,3832872.026669172,3832871.846759284,3832872.073246919,5552.536383869413,5552.5260766728325,5552.547557800811,5552.519123529081,5552.553739736143
2010-12-01,-8091.5130501043495,-8091.620576174664,-8091.388871245644,-8091.700838467676,-8091.330037849107,-5943490.512711857,-5943490.611855348,-5943490.411019746,-5943490.682996736,-5943490.3350795135,567806.916384459,567806.8662569234,567806.9649334259,567806.8351040118,567806.9985235092,3875947.1982853427,3875947.1318905647,3875947.2635285514,3875947.091015663,3875947.307141816,-24504.628568577737,-24504.638075035877,-24504.61883014512,-24504.643867445335,-24504.61372336479
2011-01-01,-8162.23815698699,-8162.344566577196,-8162.1267870212305,-8162.425047920267,-8162.055236762217,-5992779.604533871,-5992779.712545259,-5992779.502961445,-5992779.767218616,-5992779.435277184,569375.7400309317,569375.6891705513,569375.7903331243,569375.659382194,569375.8231303714,3925923.5155607387,3925923.4462781437,3925923.5819493276,3925923.3895517155,3925923.6239504702,-32740.44682674868,-32740.457055132825,-32740.436796295406,-32740.463379786997,-32740.4310086434
2011-02-01,-8232.041744112365,-8232.145910227884,-8231.949359006541,-8232.22797138837,-8231.858110906747,-6041725.463887062,-6041725.5661381995,-6041725.366660479,-6041725.630928129,-6041725.289073468,581826.873359862,581826.825313908,581826.9200452553,581826.7879264981,581826.9537029738,3965963.830340405,3965963.7612467315,3965963.9043011605,3965963.7041649204,3965963.9526458713,24055.867412414187,24055.854785095617,24055.879815519966,24055.848015465068,24055.88699391994
2011-03-01,-8301.046053434346,-8301.15335743148,-8300.935776046259,-8301.22103392757,-8300.879236873541,-6090374.368464276,-6090374.466462793,-6090374.271335472,-6090374.52595968,-6090374.198653514,598944.1788760296,598944.1274739467,598944.2257768768,598944.1024923247,598944.2582326831,4005595.7854759246,4005595.7193967593,4005595.8556478294,4005595.6775045865,4005595.895633229,-25891.88635409818,-25891.89599747636,-25891.876338383332,-25891.90283244483,-25891.868544298173
2011-04-01,-8370.068076153606,-8370.178127847626,-8369.956900946638,-8370.247162001617,-8369.89138293302,-6139028.483242553,-6139028.575639602,-6139028.3785827635,-6139028.651153394,-6139028.311403721,614509.4983874641,614509.4470596327,614509.5480795816,614509.420183186,614509.5788628461,4056531.996591376,4056531.929129596,4056532.066251506,4056531.8803584673,4056532.1087407214,-77986.09683878646,-77986.1087781341,-77986.084614092,-77986.1145843282,-77986.07665207156
2011-05-01,-8441.280517033323,-8441.403284832337,-8441.157213300232,-8441.465312840497,-8441.090390201794,-6188784.855931523,-6188784.962230762,-6188784.753358817,-6188785.026719517,-6188784.677308188,612784.260391811,612784.2195603113,612784.3036962007,612784.1851135559,612784.3311933707,4100202.816638541,4100202.7467465233,4100202.8822572487,4100202.7016465343,4100202.9310479164,-54225.92759643467,-54225.93963842681,-54225.916145967225,-54225.94570334715,-54225.90772080519
2011-06-01,-8512.117837902193,-8512.240793681261,-8512.005676529014,-8512.312899072134,-8511.933028460928,-6238386.289080466,-6238386.392192196,-6238386.189779145,-6238386.44827813,-6238386.118406624,618364.3414912849,618364.2910363455,618364.3895548293,618364.2613849458,618364.4196770401,4143335.2850432717,4143335.2126489333,4143335.351431372,4143335.176539878,4143335.3991850954,-16668.511675118145,-16668.52368384483,-16668.498992973837,-16668.530052817398,-16668.492081221153
2011-07-01,-8582.52138569757,-8582.624565297601,-8582.420943274903,-8582.698970693225,-8582.358772360867,-6287809.891427355,-6287810.004453842,-6287809.786120602,-6287810.062231784,-6287809.720565141,626416.499580562,626416.4517333995,626416.5485035478,626416.426662778,626416.5758660472,4184491.9364807736,4184491.8685775334,4184492.0035604322,4184491.824681342,4184492.053536728,-5092.701861256771,-5092.714251818396,-5092.690796446086,-5092.722662513892,-5092.681900930851
2011-08-01,-8652.340454179548,-8652.45186692113,-8652.226458853764,-8652.51373512198,-8652.158132707733,-6336993.367746624,-6336993.472613878,-6336993.267933093,-6336993.537101168,-6336993.202822662,639247.9733134065,639247.9229318723,639248.023250557,639247.8924499719,639248.0602699781,4223890.322998728,4223890.250383036,4223890.3958892245,4223890.211226172,4223890.432826809,36799.30031576793,36799.28717704585,36799.31313156757,36799.27833377658,36799.320826235045
2011-09-01,-8721.870984903366,-8721.98803760221,-8721.757147778564,-8722.062735948848,-8721.678296275515,-6386061.909598652,-6386062.016736233,-6386061.796282832,-6386062.077628847,-6386061.726913719,651284.9180824524,651284.8655327071,651284.9677811034,651284.8324742866,651285.0053061818,4269149.415145915,4269149.339096838,4269149.487934822,4269149.285487094,4269149.53526392,1300.144359526799,1300.1318409422709,1300.1576955727242,1300.1232035998182,1300.166871993252
2011-10-01,-8792.253480355368,-8792.365957411694,-8792.145549489836,-8792.428499603071,-8792.075589224341,-6435521.194124468,-6435521.2958651995,-6435521.096020737,-6435521.3610585965,-6435521.027555156,651352.7501150034,651352.6980897011,651352.8026292366,651352.6640310283,651352.8372261539,4311327.349045479,4311327.277322825,4311327.423514446,4311327.230947053,4311327.464315858,24338.426173432064,24338.41339116608,24338.439045043302,24338.406294752087,24338.449060010946
2011-11-01,-8861.619774863062,-8861.744171656548,-8861.496846790225,-8861.827611925488,-8861.435018898004,-6484568.714370335,-6484568.828796625,-6484568.615580163,-6484568.898074638,-6484568.525019398,662699.7888559066,662699.7424419441,662699.8367911328,662699.7062280773,662699.8703491201,4353753.522169677,4353753.448109313,4353753.597318942,4353753.407582735,4353753.644111887,20813.211214518855,20813.19829664122,20813.223663181223,20813.19170116129,20813.230059915717
2011-12-01,-8930.585377890091,-8930.702522179346,-8930.47067588904,-8930.768275782275,-8930.401948584733,-6533450.42626735,-6533450.530507443,-6533450.322543347,-6533450.607793231,-6533450.244105398,668083.3522201288,668083.3049376213,668083.3995360588,668083.272702339,668083.4383209288,4402945.712284895,4402945.648766297,4402945.779862438,4402945.590995604,4402945.826813479,15202.99259123977,15202.97987827767,15203.00608934998,15202.969716228761,15203.016257018828
2012-01-01,-8998.493637893038,-8998.61417320007,-8998.37227542581,-8998.70034441723,-8998.293037876894,-6581870.890285285,-6581870.993482958,-6581870.780142835,-6581871.062635517,-6581870.724213814,692650.1523839415,692650.1054511898,692650.1995190168,692650.0757845195,692650.2351240797,4443235.341524436,4443235.274865551,4443235.414306294,4443235.225947593,4443235.459075458,-37625.707988829796,-37625.72138628058,-37625.695120099896,-37625.72993531482,-37625.68737554124
2012-02-01,-9067.72931360753,-9067.841758609224,-9067.617332834512,-9067.92501161395,-9067.526425819746,-6630962.105776083,-6630962.218912571,-6630961.999870603,-6630962.288774573,-6630961.9331111405,694834.1911563922,694834.1431381728,694834.2413126348,694834.1114078568,694834.2701551488,4484382.593757645,4484382.521066479,4484382.670401713,4484382.472129925,4484382.711551186,-19103.713690634668,-19103.726997569272,-19103.70036507961,-19103.735501909494,-19103.69130716918
2012-03-01,-9136.431467921273,-9136.541571663367,-9136.319257309313,-9136.642204821672,-9136.241112003821,-6679803.418250725,-6679803.525961104,-6679803.305726595,-6679803.594160518,-6679803.235191802,711398.9854894907,711398.9376901546,711399.0374290798,711398.902504573,711399.0745265849,4518890.7605125,4518890.680135967,4518890.832903588,4518890.634272994,4518890.887095451,-53340.86568171789,-53340.87719778811,-53340.85460823061,-53340.88382365193,-53340.84713961722
2012-04-01,-9204.983699534614,-9205.092493167136,-9204.871738016831,-9205.17069530147,-9204.793215721102,-6728566.461911813,-6728566.571144404,-6728566.352939037,-6728566.640798859,-6728566.280311077,726169.7019083232,726169.6523279201,726169.7539695294,726169.6242011721,726169.785065469,4565137.700459996,4565137.6261309385,4565137.771043556,4565137.582855629,4565137.809833128,-124189.2061418992,-124189.21859234011,-124189.19367599468,-124189.22758964184,-124189.18559780018
2012-05-01,-9275.318051812628,-9275.437762941272,-9275.207508711344,-9275.521808332682,-9275.128842751361,-6778344.527239419,-6778344.628878621,-6778344.424101985,-6778344.690513978,-6778344.36272616,731478.7444361325,731478.6959892755,731478.7961253178,731478.6608229151,731478.8291515996,4594889.044914097,4594888.974215104,4594889.118498775,4594888.930368599,4594889.154189189,-93422.10439667739,-93422.1155066106,-93422.09252541573,-93422.12390406625,-93422.08429468708
2012-06-01,-9345.336926126527,-9345.457824479916,-9345.215251126709,-9345.531998452432,-9345.142460139698,-6827974.670085461,-6827974.770276397,-6827974.569441981,-6827974.831723545,-6827974.488225124,740170.0147356823,740169.9632197603,740170.066375493,740169.9291601307,740170.1014110637,4632653.949495602,4632653.88224294,4632654.018617342,4632653.824546764,4632654.060440689,-99083.35442731844,-99083.36514357624,-99083.34282885886,-99083.37468448571,-99083.33462587792
2012-07-01,-9415.97146234489,-9416.088334526208,-9415.856770210317,-9416.170224688829,-9415.775742245074,-6877911.301663629,-6877911.406783264,-6877911.19507042,-6877911.473475384,-6877911.121137163,744503.2985862796,744503.246172882,744503.347233059,744503.214572623,744503.3809277035,4665943.096188245,4665943.027760841,4665943.169217515,4665942.988352961,4665943.21373007,-67487.8448943576,-67487.85538362,-67487.83361765736,-67487.8628268651,-67487.82785053586
2012-08-01,-9485.722433860215,-9485.833830960186,-9485.604294723405,-9485.90850566668,-9485.526742610782,-6927447.160604354,-6927447.262108451,-6927447.047433047,-6927447.335273702,-6927446.977058069,758077.3889110424,758077.3400803787,758077.4410399296,758077.3103773269,758077.4683430338,4701790.110904981,4701790.0386223225,4701790.182617106,4701789.990323707,4701790.223518229,-77725.45768323644,-77725.46814571222,-77725.44779235932,-77725.47348420664,-77725.44061633956
2012-09-01,-9555.770835909567,-9555.892416767341,-9555.651847088255,-9555.976955479322,-9555.574469214385,-6977131.343506159,-6977131.450826446,-6977131.242502249,-6977131.498835835,-6977131.167078773,759949.830138485,759949.7816589562,759949.8792628972,759949.753195702,759949.9067667627,4750307.37718621,4750307.303832527,4750307.451914776,4750307.257350972,4750307.4958692435,-61552.854394980975,-61552.86651153915,-61552.841686165935,-61552.87532537911,-61552.83326483383
2012-10-01,-9625.023905395157,-9625.150355414456,-9624.912053411743,-9625.219959928756,-9624.849671880982,-7026416.997766431,-7026417.095705611,-7026416.898194514,-7026417.173308635,-7026416.8352799015,786082.470453223,786082.4203365544,786082.5170308432,786082.3887558797,786082.5501864669,4781385.783797114,4781385.709778704,4781385.856867609,4781385.660419724,4781385.890041761,-109917.11276512139,-109917.12454673274,-109917.10104475229,-109917.1307232615,-109917.09412795618
2012-11-01,-9695.370051455084,-9695.489209925756,-9695.245869197423,-9695.56166860175,-9695.187199968295,-7076269.530970097,-7076269.6514034355,-7076269.416954571,-7076269.718784417,-7076269.355815313,794351.6698413104,794351.6218665538,794351.7195591789,794351.5941909064,794351.7450670648,4829683.747715187,4829683.684461904,4829683.812028311,4829683.638429469,4829683.865753808,-117292.67066631596,-117292.68164476528,-117292.65904905168,-117292.68910409734,-117292.65217013138
2012-12-01,-9766.185889937387,-9766.298907329645,-9766.060623259862,-9766.385153506377,-9765.996456562649,-7126362.403155014,-7126362.504940036,-7126362.294202394,-7126362.583433807,-7126362.234658188,798671.7960469746,798671.7491375592,798671.842540321,798671.7165858372,798671.8748326696,4875106.391830607,4875106.3210070785,4875106.466844683,4875106.269119098,4875106.5078130895,-45128.85578673165,-45128.868652614445,-45128.84341674166,-45128.874888659026,-45128.83237262187
2013-01-01,-9835.262288636717,-9835.38595116683,-9835.141617300214,-9835.468080912779,-9835.044437587356,-7175603.2884861715,-7175603.391594708,-7175603.17998296,-7175603.468002483,-7175603.10953642,839812.0135106936,839811.9646223951,839812.0639791748,839811.9280489731,839812.0979236653,4902400.902686528,4902400.826756409,4902400.976769759,4902400.790999162,4902401.013615909,-108023.35281707905,-108023.36414188094,-108023.3411691913,-108023.37131512654,-108023.33352996278
